Age,Experience,Education,Job_Role,Company_Type,Salary,Marital_Status,Previous_Job_Changes,Will_Hop
28,5,Bachelor,Software Engineer,Startup,70000,Single,2,1
35,10,Master,Data Scientist,Corporate,120000,Married,1,0
42,15,PhD,Project Manager,Corporate,150000,Married,3,0
26,3,Bachelor,Software Engineer,Startup,60000,Single,1,1
30,7,Master,ML Engineer,Mid-Size,85000,Single,2,1
45,20,PhD,CTO,Enterprise,200000,Married,4,0
33,8,Bachelor,Software Engineer,Corporate,95000,Single,1,0
29,4,Bachelor,Data Analyst,Startup,68000,Single,2,1
38,12,Master,AI Researcher,Enterprise,140000,Married,3,0
25,2,Bachelor,Software Engineer,Startup,55000,Single,0,1
40,18,PhD,Senior Manager,Corporate,160000,Married,4,0
31,6,Master,Data Engineer,Mid-Size,90000,Single,1,1
27,4,Bachelor,Data Scientist,Startup,72000,Single,1,1
50,25,PhD,CEO,Enterprise,300000,Married,5,0
24,1,Bachelor,Software Engineer,Startup,50000,Single,0,1
39,13,Master,Cloud Architect,Corporate,135000,Married,2,0
36,11,Master,DevOps Engineer,Mid-Size,110000,Married,2,0
28,5,Bachelor,Frontend Developer,Startup,75000,Single,2,1
32,7,Master,Backend Developer,Mid-Size,89000,Single,1,1
41,17,PhD,Technical Lead,Enterprise,170000,Married,3,0
23,1,Bachelor,Software Engineer,Startup,48000,Single,0,1
37,14,Master,System Administrator,Corporate,125000,Married,3,0
34,9,Bachelor,Security Analyst,Mid-Size,98000,Single,2,1
26,3,Bachelor,UX Designer,Startup,64000,Single,1,1
45,22,PhD,VP of Engineering,Enterprise,220000,Married,4,0
29,5,Master,IT Consultant,Mid-Size,87000,Single,1,1
33,8,Bachelor,Software Tester,Corporate,93000,Single,2,0
30,6,Master,Data Scientist,Startup,92000,Single,1,1
46,19,PhD,CTO,Enterprise,240000,Married,5,0
31,7,Bachelor,Full Stack Developer,Mid-Size,95000,Single,2,1
28,4,Bachelor,Software Engineer,Startup,72000,Single,1,1
35,10,Master,AI Engineer,Corporate,118000,Married,1,0
43,16,PhD,Senior Manager,Enterprise,175000,Married,4,0
27,3,Bachelor,Mobile Developer,Startup,69000,Single,1,1
39,12,Master,DevOps Engineer,Corporate,140000,Married,3,0
50,23,PhD,CEO,Enterprise,320000,Married,5,0
29,6,Bachelor,Software Engineer,Mid-Size,87000,Single,2,1
38,11,Master,Cybersecurity Specialist,Corporate,132000,Married,2,0
26,2,Bachelor,Game Developer,Startup,60000,Single,0,1
42,18,PhD,IT Director,Enterprise,195000,Married,3,0
33,9,Bachelor,Software Engineer,Corporate,97000,Single,1,0
31,5,Master,Data Engineer,Startup,91000,Single,2,1
44,20,PhD,Engineering Manager,Enterprise,180000,Married,4,0
25,2,Bachelor,Software Engineer,Startup,58000,Single,0,1
36,12,Master,System Analyst,Corporate,127000,Married,3,0
30,6,Bachelor,QA Engineer,Mid-Size,88000,Single,1,1
48,21,PhD,Technical Director,Enterprise,260000,Married,5,0
27,3,Bachelor,Software Developer,Startup,67000,Single,1,1
41,17,Master,Data Scientist,Corporate,148000,Married,3,0
29,7,Bachelor,Full Stack Developer,Mid-Size,89000,Single,2,1
46,19,PhD,CISO,Enterprise,225000,Married,4,0
35,11,Master,Product Manager,Corporate,122000,Married,2,0
40,15,PhD,Research Scientist,Enterprise,165000,Married,3,0
28,4,Bachelor,AI Developer,Startup,73000,Single,1,1
50,25,PhD,CEO,Enterprise,310000,Married,5,0
39,13,Master,Cloud Engineer,Corporate,138000,Married,3,0
26,2,Bachelor,Software Engineer,Startup,62000,Single,0,1
43,16,PhD,Director of Engineering,Enterprise,190000,Married,4,0
33,8,Bachelor,Software Architect,Corporate,98000,Single,1,0
24,1,Bachelor,Junior Developer,Startup,49000,Single,0,1
45,21,PhD,CTO,Enterprise,245000,Married,5,0
37,14,Master,Machine Learning Engineer,Corporate,130000,Married,3,0
32,6,Bachelor,Database Administrator,Mid-Size,92000,Single,2,1
28,5,Bachelor,Security Engineer,Startup,71000,Single,1,1
47,22,PhD,Engineering Director,Enterprise,230000,Married,4,0
25,2,Bachelor,Software Engineer,Startup,56000,Single,0,1
